iter	RMSE
0	14.48906053
1	14.02225494
2	13.60354732
3	13.15919147
4	12.75735
5	12.41433471
6	12.04332751
7	11.7159182
8	11.40918526
9	11.06317149
10	10.74512018
11	10.47284173
12	10.22645161
13	9.996941914
14	9.738907396
15	9.483581501
16	9.248762967
17	9.044423454
18	8.830480782
19	8.640430273
20	8.469232316
21	8.293038317
22	8.134457778
23	7.971516779
24	7.817057171
25	7.687055177
26	7.568147707
27	7.468289508
28	7.347085123
29	7.238066519
30	7.129730794
31	7.024393974
32	6.925199123
33	6.847811332
34	6.755863872
35	6.668564977
36	6.593058094
37	6.524365189
38	6.462115348
39	6.400842955
40	6.344499875
41	6.293484608
42	6.24087202
43	6.198546265
44	6.147335606
45	6.093775884
46	6.050513246
47	6.006693727
48	5.96089276
49	5.918196519
