iter	Passed	Remaining
0	144	144760
1	146	73260
2	147	49157
3	150	37460
4	152	30282
5	154	25616
6	156	22211
7	157	19510
8	159	17570
9	161	15994
10	162	14588
11	163	13501
12	166	12652
13	168	11840
14	169	11147
15	170	10478
16	172	9946
17	172	9431
18	173	8968
19	174	8551
20	175	8173
21	176	7837
22	177	7535
23	178	7263
24	179	7010
25	180	6760
26	181	6534
27	182	6323
28	182	6126
29	183	5940
30	184	5765
31	185	5602
32	185	5447
33	186	5301
34	187	5163
35	187	5032
36	188	4906
37	189	4789
38	189	4675
39	190	4568
40	190	4465
41	191	4367
42	192	4275
43	192	4188
44	193	4106
45	194	4028
46	194	3948
47	195	3873
48	196	3805
49	196	3735
50	197	3668
51	197	3606
52	198	3546
53	199	3487
54	199	3431
55	200	3376
56	200	3322
57	201	3269
58	201	3219
59	202	3170
60	202	3122
61	203	3076
62	203	3031
63	204	2987
64	204	2945
65	205	2904
66	205	2866
67	206	2827
68	206	2791
69	207	2757
70	208	2724
71	208	2692
72	209	2660
73	210	2629
74	210	2598
75	211	2569
76	211	2539
77	212	2511
78	213	2485
79	213	2458
80	214	2432
81	214	2405
82	215	2377
83	215	2352
84	216	2327
85	216	2303
86	217	2279
87	217	2256
88	218	2233
89	218	2211
90	219	2189
91	219	2168
92	220	2147
93	220	2127
94	221	2107
95	221	2087
96	222	2069
97	222	2051
98	223	2034
99	224	2017
100	224	2000
101	225	1983
102	225	1966
103	226	1949
104	226	1933
105	227	1917
106	228	1903
107	228	1888
108	229	1873
109	229	1858
110	230	1843
111	230	1828
112	231	1814
113	231	1800
114	232	1786
115	232	1772
116	232	1757
117	233	1744
118	233	1731
119	234	1718
120	234	1706
121	235	1693
122	235	1680
123	236	1669
124	236	1657
125	237	1646
126	237	1635
127	238	1625
128	239	1615
129	239	1605
130	240	1594
131	241	1584
132	241	1574
133	242	1567
134	243	1558
135	243	1548
136	244	1539
137	244	1529
138	245	1519
139	245	1510
140	246	1500
141	246	1490
142	247	1480
143	247	1471
144	248	1462
145	248	1454
146	249	1445
147	249	1436
148	250	1428
149	250	1420
150	251	1411
151	251	1403
152	252	1395
153	252	1388
154	253	1381
155	254	1374
156	254	1367
157	255	1359
158	255	1353
159	256	1346
160	256	1338
161	257	1331
162	258	1325
163	258	1318
164	259	1312
165	259	1305
166	260	1298
167	260	1292
168	261	1285
169	261	1278
170	262	1272
171	262	1265
172	263	1259
173	263	1253
174	264	1246
175	264	1240
176	265	1234
177	265	1228
178	266	1222
179	267	1216
180	267	1210
181	268	1205
182	268	1200
183	269	1196
184	270	1191
185	271	1186
186	271	1180
187	272	1175
188	272	1170
189	273	1167
190	274	1162
191	274	1157
192	275	1152
193	276	1146
194	276	1141
195	277	1136
196	277	1131
197	278	1126
198	278	1121
199	279	1117
200	279	1112
201	280	1107
202	280	1102
203	281	1097
204	281	1093
205	282	1088
206	282	1084
207	283	1079
208	284	1076
209	284	1072
210	285	1067
211	286	1064
212	287	1060
213	287	1056
214	288	1052
215	289	1049
216	289	1045
217	290	1041
218	290	1037
219	291	1032
220	291	1028
221	292	1024
222	292	1020
223	293	1016
224	294	1012
225	294	1008
226	295	1004
227	295	1000
228	296	996
229	296	993
230	297	989
231	297	985
232	298	981
233	298	978
234	299	975
235	300	972
236	301	969
237	301	965
238	302	962
239	302	959
240	303	955
241	304	953
242	304	950
243	305	946
244	306	943
245	306	940
246	307	937
247	308	934
248	308	931
249	309	928
250	310	925
251	310	922
252	311	918
253	311	915
254	312	912
255	312	909
256	313	906
257	314	903
258	314	901
259	315	898
260	316	895
261	316	892
262	317	889
263	318	886
264	318	884
265	319	881
266	319	878
267	320	875
268	321	872
269	321	869
270	322	866
271	322	864
272	323	861
273	324	859
274	324	856
275	325	853
276	326	851
277	326	848
